# Index    E(CCSD)                Full Expectation Value
167   -511.771244150019      0.3315135464E-01    
168   -228.039187208473      -5.989270210        
169   -282.245848032777      -4.333339214        
170   -110.251903441624      -14.49848175        
171   -280.097860099137      -2.204457045        
172   -250.655120677525      -0.8445287943       
173   -166.135193474044      -8.162542343        
174   -165.348171894273      -7.115276337        
175   -142.274368755533      -13.41580677        
176   -473.481701268633      -0.1437219381       
177   -202.398763349507      -5.665355682        
178   -79.1188649992080      -19.50507927        
179   -111.042542842838      -8.481964111        
180   -224.042585826171      -3.115249634        
181   -131.521419412797      -13.57030106        
182   -201.692596029377      -1.768541694        
183   -313.397289232095      -0.8798831105       
184   -77.9829476387874      -20.83101082        
185   -113.711123598928      -14.81436539        
186   -111.978919638640      -17.46062088        
187   -103.209333682893      -15.46558762        
188   -260.448182709820      -3.478768349        
189   -97.2048674568011      -17.05960464        
190   -232.727903758143      -0.9413728863E-01   
191   -81.8058466565160      -21.26560593        
# 192   -194.507809352650      MISSING             
193   -108.707177932365      -15.25334549        
194   -118.711265941902      -10.78137016        
195   -84.5216174970169      -19.68403053        
196   -97.3193330554095      -17.38798523        
197   -409.600408253337      2.004368305         
198   -96.3188155744511      -19.46150398        
199   -98.2376793657960      -20.75753784        
